 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
957,41,14,7,20,8/21/2020,,Sector 1-12,SG47,10-A,0.55,5/24/2019,Mason,Saad,HCS,HCS-38,5,1140,5015,3875,SA,7/10/2020,ET,8,110,25,d40g,2,7/13/2020,ET,23,8/5/2020,AW,5.1550,2.0640,2.0150,2.1840,1.8450,1.8040,2.0020,342.5,AW,3130,AW,9.14,20200805,2662,W,0.3748,99.78,0.0000,0.3757,4.9962,5.4,0.134,100.9,98.8006,99.8501,99.5502,N,N,,,Mina,20200806,203.848,141.382,1.442,Mina,20200806,20200806,Mina,,Saad,Saad,Saad,08C14,44049,1,44049,5b,5a,5b,5a,5a,5a,5a,1,1,5a,957,0,8,C,14,,1.143,-0.5334,-0.508,-0.0508,-0.381,-0.2794,0.3302
958,42,14,8,,,Arguably 13 connected holes,Sector 1-12,SG47,10-A,0.35,5/24/2019,Emily,Saad,HCS,HCS-44,7,1160,4915,3755,SA,9/9/2020,SA,8,110,25,d40g,4,9/9/2020,ET,19,9/28/2020,AW,5.1130,2.0490,2.0220,2.1740,1.8320,1.8080,1.9900,337.2,AW,3086,AW,9.15,20200929,2614,W,0.0375,97.98,0.0000,0.2295,3.2900,3.5,0.126,99.7001,100,95.952,96.2519,N,Y,,,Mason,20201006.1,383.904,258.42,1.486,Saad,20200930,20201006,Mason,,Saad,Adin,Adin,,44110,8,44104,8,5a,5b,5b,5b,8,5a,1,1,8,958,,,,,,0.0762,-0.9144,-0.3302,-0.3048,-0.7112,-0.1778,0.0254
959,43,14,7,20,8/21/2020,Mixed TP; HCS-53/HCS-85,Sector 1-12,SG47,10-A,0.66,5/24/2019,Mason,Saad,HCS,HCS-53,6,1165,5210,4045,SA,7/16/2020,SA,8,110,25,d40g,6.5,7/16/2020,ET,26,8/11/2020,AW,5.0990,2.0740,2.0140,2.1860,1.8510,1.8100,2.0060,340.1,AW,3220,AW,9.47,20200811,2643,W,1.0870,99.06,0.0757,3.3296,5.4862,8.9,0.195,99.5502,99.4003,97.7511,99.5502,N,N,,,Mina,20200812,205.506,203.456,1.010,Mina,20200812,20200812,Mina,,Saad,Saad,Saad,08A14,44055,1,44055,5b,5a,5b,5a,5a,5a,5a,1,1,5a,959,0,8,A,14,,-0.2794,-0.2794,-0.5334,0,-0.2286,-0.127,0.4318
960,44,14,7,8,10/28/2019,,Sector 1-12,SG47,10-A,2.00,5/24/2019,Joseph,Emily,HCS,HCS-4,3,1075,4870,3795,ET,7/18/2019,ET,4,120,30,d35g,3.5,7/25/2019,ET,-43671,,,5.1005,2.0790,2.0261,2.1798,1.8549,1.8067,1.9960,339.8,Mason,3076,Mason,9.05,20190809,2655,W,0.4872,99.51,0.1883,0.4520,5.0094,5.6,0.186,98.2009,100.15,99.8501,99.8501,N,N,,,Mason,20190809,284.783,169.304,1.682,Mason,20190810,20190809,Mason,,Saad,Saad,Saad,01A14,43686,43686,43687,5a,5a,5a,5a,5a,5a,5a,1,1,5a,960,0,1,A,14,,-0.2413,-0.1524,-0.22606,-0.15748,-0.12954,-0.21082,0.1778
961,45,14,7,19,8/3/2020,,Sector 1-12,SG47,10-A,0.33,5/24/2019,Emily,Saad,HCS,HCS-37,5,1135,5130,3995,SA,7/1/2020,SA,8,110,25,d40g,2,7/2/2020,ET,13,7/15/2020,AW,5.1130,2.0790,2.0190,2.1850,1.8600,1.8060,2.0030,341.4,AW,3176,AW,9.30,20200715,2641,W,1.3118,98.99,0.3786,2.8398,7.7244,10.9,0.205,99.2504,98.051,99.4003,99.2504,N,N,,,Mina,20200716,183.543,155.582,1.180,Mina,20200716,20200716,Mina,,Saad,Saad,Saad,06A14,44028,1,44028,5a,5a,5a,5a,5a,5a,5a,1,1,5a,961,0,6,A,14,,0.0762,-0.1524,-0.4064,-0.0254,0,-0.2286,0.3556
962,46,14,7,22,9/22/2020,,Sector 1-12,SG47,10-A,0.42,5/24/2019,Emily,Saad,HCS,HCS-42,6,1165,4915,3750,SA,8/26/2020,SA,8,110,25,d40g,1.5,8/26/2020,ET,14,9/9/2020,AW,5.1140,2.0870,2.0300,2.1930,1.8620,1.8070,2.0040,343.3,AW,3132,AW,9.12,20200909,2644,W,0.8620,99.10,0.1135,2.0424,6.5431,8.7,0.173,98.9505,99.2504,99.1004,99.1004,N,N,,,Mina,20200910,304.892,196.902,1.548,Mina,20200910.1,20200910,Mina,,Adin,Adin,Adin,09C14,44084,1,44084,5a,5a,5a,5a,5a,5a,5a,1,1,5a,962,0,9,C,14,,0.1016,0.0508,-0.127,0.1778,0.0508,-0.2032,0.381
963,47,14,7,18,7/14/2020,,Sector 1-12,SG47,10-A,2.33,5/28/2019,Joseph,Saad,HCS,HCS-35,5,1140,5050,3910,SA,6/18/2020,ET,7,110,25,d40g,1.5,6/18/2020,ET,5,6/23/2020,AW,5.1060,2.0830,2.0220,2.1870,1.8600,1.8150,1.9930,341.1,AW,3112,AW,9.12,20200623,2609,W,0.8246,97.79,0.0000,1.3798,3.4879,4.9,0.145,96.4018,95.5022,99.7001,99.5502,N,N,,,Mina,20200624,252.95,260.451,0.971,Mina,20200624,20200624,Mina,,Saad,Mason,Mason,06C14,44006,1,44006,5b,5a,5a,5b,5b,5a,5a,1,1,5b,963,0,6,C,14,,-0.1016,-0.0508,-0.3302,0.0254,0,0,0.1016
964,48,14,7,23,10/5/2020,,Sector 1-12,SG47,10-A,0.42,5/28/2019,Emily,Saad,HCS,HCS-42,6,1165,4835,3670,SA,8/28/2020,SA,8,110,25,d40g,2,8/31/2020,ET,16,9/16/2020,AW,5.1110,2.0900,2.0280,2.1890,1.8490,1.8100,2.0050,342.4,AW,3068,AW,8.96,20200916,2643,W,0.4498,99.06,0.1135,0.9081,5.4862,6.5,0.142,99.7001,99.8501,97.4513,99.2504,N,N,,,Mina,20200924,182.792,226.026,0.809,Mina,20200924,20200924,Mina,,Adin,Adin,Adin,10A14,44098,8,44098,5a,5a,5a,5a,5a,5a,5a,1,1,5a,964,1,0,A,14,,0.0254,0.127,-0.1778,0.0762,-0.2794,-0.127,0.4064
965,17,13,7,20,8/21/2020,,Sector 1-12,SG47,10-A,0.38,5/28/2019,Emily,Saad,HCS,HCS-53,5,1130,4880,3750,SA,7/21/2020,ET,8,110,25,d40g,5,7/22/2020,ET,8,7/30/2020,AW,5.0900,2.0610,1.9990,2.1930,1.8770,1.8110,2.0000,339.5,AW,3052,AW,8.99,20200730,2665,W,0.3374,99.89,0.0000,0.3377,3.6773,4.0,0.126,99.8501,100.15,99.7001,99.8501,N,N,,,Mina,20200803,330.906,247.19,1.339,Mina,20200803,20200803,Mina,,Saad,Saad,Saad,07B15,44046,4,44046,5b,5a,5b,5a,5a,5a,5a,1,1,5a,965,0,7,B,15,,0,-0.6096,-1.016,0,0.508,-0.1016,0.2794
966,18,13,7,22,9/22/2020,,Sector 1-12,SG47,10-A,0.37,5/28/2019,Saad,Emily,HCS,HCS-42,6,1165,5005,3840,SA,8/26/2020,SA,8,110,25,d40g,1.5,8/26/2020,ET,14,9/9/2020,AW,5.0950,2.0820,2.0350,2.2000,1.8470,1.8050,2.0030,341.8,AW,3150,AW,9.22,20200909,2663,W,1.0495,99.81,0.1502,0.9763,6.5715,7.7,0.163,100.3,99.7001,99.5502,99.7001,N,N,,,Mina,20200910,271.913,196.902,1.381,Mina,20200910.1,20200910,Mina,,Adin,Adin,Adin,10B13,44084,1,44084,5a,5a,5a,5a,5a,5a,5a,1,1,5a,966,1,0,B,13,,0.127,-0.0762,-0.1016,0.1778,-0.254,-0.254,0.3556
967,19,13,7,21,9/9/2020,,Sector 1-12,SG47,10-A,0.47,5/28/2019,Emily,Saad,HCS,HCS-40,6,1165,5065,3900,SA,8/14/2020,ET,8,110,25,d40g,1.5,8/17/2020,ET,10,8/27/2020,AW,5.0950,2.0900,2.0260,2.1940,1.8620,1.8080,1.9960,341.5,AW,3118,AW,9.13,20200827,2656,W,0.7871,99.55,0.1130,2.5979,9.9398,12.7,0.187,100,99.1004,99.5502,99.5502,N,N,,,Mason,20200901.1,248.942,222.973,1.116,Adin,20200903.1,20200902,Will,,Saad,Saad,Mason,09B13,44075,5,44077,5a,5a,5a,5a,5a,5a,5a,1,1,5a,967,0,9,B,13,,0.127,0.127,-0.3302,0.0254,0.127,-0.1778,0.1778
968,20,13,7,22,9/22/2020,,Sector 1-12,SG47,10-A,0.35,5/28/2019,Saad,Emily,HCS,HCS-42,6,1170,4815,3645,SA,8/28/2020,SA,8,110,25,d40g,1.5,8/28/2020,ET,14,9/11/2020,AW,5.0940,2.1040,2.0370,2.1930,1.8560,1.7870,1.9990,341.6,AW,3064,AW,8.97,20200911,2649,W,0.4123,99.29,0.0378,2.0385,9.0978,11.2,0.187,99.8501,99.2504,99.7001,98.3508,N,N,,,Mason,20200915.3,174.806,145.448,1.202,Adin,20200915,20200916,Will,,Saad,Adin,Mason,10C13,44089,4,44089,5b,5a,5b,5a,5a,5a,5a,1,1,5a,968,1,0,C,13,,0.1016,0.4826,-0.0508,0,-0.0254,-0.7112,0.254
969,21,13,7,18,7/14/2020,,Sector 1-12,SG47,10-A,3.00,5/28/2019,Joseph,Saad,HCS,HCS-35,5,1135,5035,3900,SA,6/18/2020,ET,7,110,25,d40g,1.5,6/18/2020,ET,5,6/23/2020,AW,5.0890,2.0810,2.0200,2.1970,1.8520,1.8070,1.9970,340.2,AW,3142,AW,9.23,20200623,2595,W,0.3748,97.26,0.0000,1.1175,4.5087,5.6,0.139,94.6027,95.8021,99.1004,99.5502,N,N,,,Mina,20200624,185.05,260.451,0.710,Mina,20200624,20200624,Mina,,Saad,Mason,Mason,05D13,44006,1,44006,5b,5a,5a,5b,5b,5a,5a,1,1,5b,969,0,5,D,13,,-0.0254,-0.1016,-0.4826,0.1016,-0.127,-0.2032,0.2032
970,22,13,7,20,8/21/2020,,Sector 1-12,SG47,10-A,0.40,5/28/2019,Emily,Saad,HCS,HCS-39,5,1130,5035,3905,SA,7/30/2020,SA,8,110,25,d40g,3.5,7/31/2020,ET,6,8/6/2020,AW,5.0940,2.0670,2.0120,2.1940,1.8670,1.8070,1.9980,340.0,AW,3144,AW,9.25,20200806,2666,W,3.7481,99.93,0.0375,0.9377,7.2018,8.2,0.162,100,99.8501,99.8501,100,N,N,,,Mina,20200810,290.369,186.258,1.559,Mina,20200810,20200810,Mina,,Saad,Saad,Saad,08C13,44053,4,44053,5b,5a,5b,5a,5a,5a,5a,1,1,5a,970,0,8,C,13,,0.1016,-0.4572,-0.6858,0.0254,0.254,-0.2032,0.2286
971,23,13,8,,,,Sector 1-12,SG47,10-A,0.28,5/28/2019,Saad,Emily,HCS,HCS-4,3,1065,4795,3730,ET,7/18/2019,ET,4,120,30,d35g,6,7/25/2019,ET,-43671,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#NUM!,#NUM!,#NUM!,#NUM!,#N/A,#NUM!,FALSE,FALSE,#NUM!,971,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
972,24,13,7,22,9/22/2020,,Sector 1-12,SG47,10-A,1.25,5/28/2019,Chirag,Saad,HCS,HCS-43,7,1155,4870,3715,SA,8/28/2020,SA,8,110,25,d40g,2,8/31/2020,ET,11,9/11/2020,AW,5.0940,2.0820,2.0430,2.1960,1.8370,1.8080,2.0020,341.4,AW,3112,AW,9.12,20200911,2657,W,0.1499,99.59,0.0376,1.5055,5.3820,6.9,0.166,99.8501,99.7001,99.5502,99.2504,N,N,,,Mason,20200915.3,136.919,145.448,0.941,Adin,20200915,20200916,Will,,Saad,Adin,Mason,10D13,44089,4,44089,5a,5a,5a,5a,5a,5a,5a,1,1,5a,972,1,0,D,13,,0.1016,-0.0762,0.1016,0.0762,-0.508,-0.1778,0.3302
973,25,13,7,23,10/5/2020,Small BB. Try to patchup Sep 8. Then retest everything; softie PATCH JOB,Sector 1-12,SG47,10-A,0.28,5/28/2019,Saad,Emily,HCS,HCS-41,5,1135,5045,3910,SA,8/19/2020,SA,8,110,25,d40g,2,8/19/2020,ET,15,9/3/2020,AW,5.0780,2.0560,2.0230,2.1880,1.8490,1.8080,1.9880,337.0,AW,3102,AW,9.21,20200922,2658,W,1.4243,99.63,0.0752,1.2415,5.9443,7.3,0.168,101.049,98.5007,99.5502,99.4003,N,N,,,Will,20200923,436.579,207.72,2.102,Zander,20200923,20200923,Mason,,Adin,Mason,Mina,11C13,44097,20,44097,5b,5a,5b,5a,5a,5a,5a,1,1,5a,973,1,1,C,13,,-0.3048,-0.7366,-0.4064,-0.127,-0.2032,-0.1778,-0.0254
974,26,13,7,24,10/19/2020,,Sector 1-12,SG47,10-A,0.33,5/28/2019,Emily,Saad,HCS,HCS-43,6,1170,4850,3680,SA,9/2/2020,ET,8,110,25,d40g,2,9/2/2020,ET,14,9/16/2020,AW,5.0930,2.0810,2.0350,2.2000,1.8480,1.8040,2.0020,341.5,AW,3068,AW,8.98,20200916,2665,W,0.7872,99.89,0.1126,1.2383,4.9906,6.3,0.145,101.649,98.3508,100,99.5502,N,N,,,Erin,20201002,375.047,258.42,1.451,Saad,20200930,20201002,Erin,,Adin,Adin,Adin,12C13,44106,16,44104,5a,5a,5a,5a,5a,5a,5a,1,1,5a,974,1,2,C,13,,0.0762,-0.1016,-0.1016,0.1778,-0.2286,-0.2794,0.3302
975,27,13,7,10,12/20/2019,,Sector 1-12,SG47,10-A,0.28,5/28/2019,Saad,Emily,HCS,HCS-15,2,1065,4910,3845,ET,7/18/2019,ET,4,120,30,d35g,3.5,7/22/2019,ET,-43668,,,5.0725,2.0620,2.0369,2.2023,1.8350,1.8141,1.9803,337.8,Zander,3028,Zander,8.96,20191107,2624,W,0.4872,98.35,0.1524,2.7439,9.4893,12.4,0.211,99.5502,98.051,97.4513,98.3508,N,N,,,Saad,20191113,135.176,156.806,0.862,Mason,20191113,20191107,Mason,R,Mason,Mason,Saad,06D13,43782,43782,43782,5b,5a,5b,5a,5a,5a,5a,1,1,5a,975,0,6,D,13,,-0.4445,-0.5842,-0.05334,0.23622,-0.5588,-0.02286,-0.22098
976,28,13,7,19,8/3/2020,,Sector 1-12,SG47,10-A,0.42,5/28/2019,Emily,Saad,HCS,HCS-38,6,1165,5060,3895,SA,7/15/2020,ET,8,110,25,d40g,2,7/15/2020,ET,7,7/22/2020,AW,5.0940,2.0810,2.0310,2.1930,1.8540,1.8170,2.0060,341.9,AW,3076,AW,9.00,20200722,2655,W,0.4872,99.51,0.0377,0.3013,6.3654,6.7,0.152,99.8501,99.2504,99.5502,99.4003,N,N,,,Mina,20200727.2,336.074,287.298,1.170,Mina,20200728.1,20200728,Mina,,Saad,Saad,Saad,06B13,44039,5,44040,5a,5a,5a,5a,5a,5a,5a,1,1,5a,976,0,6,B,13,,0.1016,-0.1016,-0.2032,0,-0.0762,0.0508,0.4318
977,29,13,7,19,8/3/2020,,Sector 1-12,SG47,10-A,0.60,5/28/2019,Mason,Saad,HCS,HCS-37,6,1165,5075,3910,SA,7/7/2020,ET,8,110,25,d40g,8,7/7/2020,ET,6,7/13/2020,AW,5.0910,2.0930,2.0270,2.1840,1.8700,1.8140,1.9930,340.9,AW,3068,AW,9.00,20200714,2663,W,1.3493,99.81,0.1502,2.9666,12.9178,16.0,0.235,99.8501,100,99.7001,99.7001,N,N,,,Mina,20200714,225.532,212.646,1.061,Mina,20200714,20200714,Mina,,Saad,Saad,Saad,06C13,44026,1,44026,5a,5a,5a,5a,5a,5a,5a,1,1,5a,977,0,6,C,13,,0.0254,0.2032,-0.3048,-0.2286,0.3302,-0.0254,0.1016
978,30,13,7,21,9/9/2020,,Sector 1-12,SG47,10-A,1.25,5/28/2019,Chirag,Emily,HCS,HCS-40,7,1155,5015,3860,SA,8/13/2020,ET,8,110,25,d40g,2,8/13/2020,ET,14,8/27/2020,AW,5.0960,2.0810,2.0280,2.1890,1.8450,1.7900,1.9950,339.2,AW,3076,AW,9.07,20200827,2646,W,0.7871,99.18,0.0756,1.3983,4.2706,5.7,0.154,98.9505,100.75,98.9505,98.051,N,N,,,Mason,20200901.1,232.253,226.733,1.024,Zander,20200902,20200902,Mason,,Saad,Saad,Mina,09A13,44075,5,44076,5b,5a,5b,5a,5a,5a,5a,1,1,5a,978,0,9,A,13,,0.1524,-0.1016,-0.2794,-0.1016,-0.3048,-0.635,0.1524
979,31,13,7,8,10/28/2019,,Sector 1-12,SG47,10-A,0.28,5/28/2019,Saad,Emily,HCS,HCS-5,4,1100,4915,3815,ET,7/19/2019,AW,4,120,30,d35g,3.5,7/30/2019,ET,-43676,,,5.0760,2.0756,2.0389,2.1930,1.8484,1.8159,1.9888,339.2,Mason,3064,Yuxuan,9.03,20190911,2663,W,0.2249,99.81,0.0000,0.4506,5.3699,5.8,0.150,100.45,101.799,99.1004,97.901,N,N,,,Yuxuan,20190821,198.831,189.161,1.051,Yuxuan,20190906,20190905,Mason,,Mason,Saad,Saad,01B13,43698,43698,43714,5a,5a,5a,5a,5a,5a,5a,1,1,5a,979,0,1,B,13,,-0.3556,-0.23876,-0.00254,0,-0.21844,0.02286,-0.00508
980,32,13,7,20,8/21/2020,LowDens PATCH JOB,Sector 1-12,SG47,10-A,0.66,5/28/2019,Mason,Emily,HCS,HCS-33,4,1145,4790,3645,SA,5/28/2020,SA,7,110,25,d40g,1.5,5/29/2020,ET,3,6/1/2020,AW,5.0610,2.0690,2.0220,2.1720,1.8520,1.8080,1.9830,334.8,AW,2880,AW,8.60,20200729,2613,W,0.6746,97.94,0.0000,0.9185,5.4726,6.4,0.150,99.5502,99.4003,97.0015,95.8021,N,N,,,Mason/Mina,20200730,218.761,225.915,0.968,Adin,20200731,20200730,Mina,,Saad,Adin,Adin,07C13,44042,59,44043,5c,5c,5b,5b,5b,5a,5a,1,1,5b,980,0,7,C,13,,-0.7366,-0.4064,-0.4318,-0.5334,-0.127,-0.1778,-0.1524
981,33,13,7,19,8/3/2020,tearout W PATCH JOB,Sector 1-12,SG47,10-A,0.25,5/28/2019,Saad,Emily,HCS,HCS-33,5,1130,4910,3780,SA,5/19/2020,ET,7,110,25,d40g,7,5/19/2020,ET,2,5/21/2020,AW,5.0640,2.0610,2.0040,2.1800,1.8450,1.7880,1.9830,333.4,AW,2888,AW,8.66,20200716,2585,W,2.1740,96.89,0.1934,1.8569,5.2224,7.3,0.175,97.901,96.8516,97.1514,95.6522,N,N,,,Mason/Mina,20200720,109.571,154.756,0.708,Mina,20200720,20200720,Mina,,Saad,Adin,Adin,06A13,44032,60,44032,5c,5c,5b,5c,5b,5a,5a,1,1,5b,981,0,6,A,13,,-0.6604,-0.6096,-0.889,-0.3302,-0.3048,-0.6858,-0.1524
982,34,13,7,16,6/16/2020,,Sector 1-12,SG47,10-A,0.30,5/28/2019,Emily,Saad,HCS,HCS-32,6,1165,4970,3805,SA,5/14/2020,ET,7,110,25,d40g,1.5,5/14/2020,ET,4,5/18/2020,AW,5.0868,2.0746,2.0322,2.1983,1.8470,1.8088,2.0083,341.2,Mason,3054,Mason,8.95,20200521,2636,W,1.0495,98.80,0.1897,1.8589,11.2671,13.3,0.227,98.051,98.6507,98.6507,99.8501,N,N,,,Mason,20200526.1,176.939,131.185,1.349,Mina,20200528,20200527,Mason,,Saad,Mina,Mina,04B13,43977,8,43979,5a,5a,5a,5a,5a,5a,5a,1,1,5a,982,0,4,B,13,,-0.08128,-0.26416,-0.17272,0.13462,-0.254,-0.15748,0.49022
983,35,13,7,17,6/24/2020,White Filter paper,Sector 1-12,SG47,10-A,0.23,5/28/2019,Saad,Emily,HCS,HCS-31,5,1135,4930,3795,SA,5/8/2020,ET,7,110,25,d40g,2,5/11/2020,ET,2,5/13/2020,AW,5.0868,2.0734,2.0360,2.1885,1.8457,1.8126,1.9940,339.5,Mina,3042,Mina,8.96,20200608,2645,W,0.2623,99.14,0.0756,1.3611,8.5822,10.0,0.192,100,99.2504,98.6507,98.6507,N,N,,,Mason,20200608.1,247.17,187.139,1.321,Mina,20200609,20200608,Mason,R,Saad,Mina,Adin,07B13,43990,26,43991,5a,5a,5a,5a,5a,5a,5a,1,1,5a,983,0,7,B,13,,-0.08128,-0.29464,-0.0762,-0.1143,-0.28702,-0.06096,0.127
984,36,13,7,20,8/21/2020,,Sector 1-12,SG47,10-A,0.37,5/28/2019,Emily,Saad,HCS,HCS-37,5,1130,4980,3850,SA,7/10/2020,ET,8,110,25,d40g,1.5,7/13/2020,ET,23,8/5/2020,AW,5.0930,2.0670,2.0200,2.1870,1.8530,1.8080,1.9920,338.7,AW,3066,AW,9.05,20200805,2662,W,0.6372,99.78,0.0000,0.6386,5.9354,6.6,0.147,99.8501,100.3,99.5502,99.4003,N,N,,,Mina,20200806,218.536,141.382,1.546,Mina,20200806,20200806,Mina,,Saad,Saad,Saad,08D13,44049,1,44049,5a,5a,5a,5a,5a,5a,5a,1,1,5a,984,0,8,D,13,,0.0762,-0.4572,-0.4826,-0.1524,-0.1016,-0.1778,0.0762
985,37,13,7,23,10/5/2020,,Sector 1-12,SG47,10-A,0.38,5/29/2019,Emily,Saad,HCS,HCS-44,7,1155,4830,3675,SA,9/9/2020,SA,8,110,25,d40g,2,9/9/2020,ET,7,9/16/2020,AW,5.0940,2.0680,2.0090,2.1900,1.8640,1.8070,1.9960,339.3,AW,3092,AW,9.11,20200916,2661,W,1.0494,99.74,0.1879,0.7516,4.2089,5.1,0.143,98.8006,100.6,99.5502,100,N,N,,,Mina,20201001.1,302.611,258.42,1.171,Saad,20200930,20201002.2,Erin,,Adin,Adin,Adin,11D13,44105,15,44104,5b,5a,5b,5a,5a,5a,5a,1,1,5a,985,1,1,D,13,,0.1016,-0.4318,-0.762,-0.0762,0.1778,-0.2032,0.1778
986,38,13,7,18,7/14/2020,,Sector 1-12,SG47,10-A,0.33,5/29/2019,Saad,Emily,HCS,HCS-36,6,1165,5045,3880,SA,6/29/2020,ET,7,110,25,d40g,2.5,6/29/2020,ET,9,7/8/2020,AW,5.0900,2.0840,2.0320,2.2020,1.8550,1.8010,2.0040,341.8,AW,3132,AW,9.16,20200709,2662,W,0.5247,99.78,0.0376,2.4418,4.6206,7.1,0.180,100.3,99.4003,99.7001,99.7001,N,N,,,Mason,20200709,197.072,217.251,0.907,Mason,20200709,20200709,Mason,,Saad,Saad,Saad,05B13,44021,1,44021,5a,5a,5a,5a,5a,5a,5a,1,1,5a,986,0,5,B,13,,0,-0.0254,-0.1778,0.2286,-0.0508,-0.3556,0.381
987,39,13,7,18,7/14/2020,,Sector 1-12,SG47,10-A,0.33,5/29/2019,Emily,Saad,HCS,HCS-36,5,1165,5110,3945,SA,6/22/2020,ET,7,110,25,d40g,2.5,6/23/2020,ET,7,6/30/2020,AW,5.0940,2.0800,2.0290,2.1950,1.8640,1.8150,1.9920,341.2,AW,3134,AW,9.18,20200630,2662,W,0.9370,99.78,0.0000,0.8640,4.1322,5.0,0.140,99.7001,99.8501,99.7001,99.8501,N,N,,,Mina,20200701,245.774,236.995,1.037,Mina,20200701,20200701,Mina,,Saad,Saad,Saad,05C13,44013,1,44013,5a,5a,5a,5a,5a,5a,5a,1,1,5a,987,0,5,C,13,,0.1016,-0.127,-0.254,0.0508,0.1778,0,0.0762
988,40,13,7,18,7/14/2020,Soper slow W from B 85,Sector 1-12,SG47,10-A,0.30,5/29/2019,Saad,Emily,HCS,HCS-85,6,1170,5610,4440,SA,6/16/2020,SA,7,110,25,d40g,15.5,6/16/2020,ET,6,6/22/2020,AW,5.0890,2.0620,2.0350,2.1930,1.8450,1.8200,2.0040,340.5,AW,3356,AW,9.86,20200622,2653,W,0.2999,99.44,0.0000,0.9800,6.2948,7.3,0.161,100,99.7001,99.7001,98.3508,N,N,,,Mason,20200622.4,322.241,217.676,1.480,Mina,20200623,20200622,Mason,,Saad,Saad,Adin,05A13,44004,0,44005,5b,5a,5b,5a,5a,5a,5a,1,1,5a,988,0,5,A,13,,-0.0254,-0.5842,-0.1016,0,-0.3048,0.127,0.381
989,41,13,7,20,8/21/2020,,Sector 1-12,SG47,10-A,0.33,5/29/2019,Emily,Mason,HCS,HCS-37,5,1130,5065,3935,SA,7/1/2020,SA,8,110,25,d40g,2,7/2/2020,ET,15,7/17/2020,AW,5.0930,2.0970,2.0210,2.1940,1.8500,1.7840,2.0010,340.3,AW,3140,AW,9.23,20200717,2603,W,0.8621,97.56,0.3842,3.9954,10.7568,15.1,0.242,96.4018,96.7016,97.6012,99.5502,N,N,,,Mina,20200813,224.731,280.887,0.800,Mina,20200813,20200720,Mina,R,Saad,Saad,Saad,07A13,44056,27,44056,5b,5a,5b,5b,5a,5a,5a,1,1,5b,989,0,7,A,13,,0.0762,0.3048,-0.4572,0.0254,-0.1778,-0.7874,0.3048
990,42,13,8,,,5c TooSmall BB: -.0410,Sector 1-12,SG47,10-A,3.00,5/29/2019,Joseph,Emily,HCS,HCS-34,5,1130,4995,3865,SA,6/1/2020,ET,7,110,25,d40g,1.5,6/2/2020,ET,6,6/8/2020,AW,5.0920,2.0600,1.9980,2.2060,1.8540,1.7940,2.0060,339.5,AW,3060,AW,9.01,20200608,2624,W,0.7871,98.35,0.2668,2.6296,8.0031,10.9,0.195,97.4513,98.3508,98.2009,99.4003,N,N,,,Mason,20200609.1,227.338,256.206,0.887,Mason,20200609.2,20200609,Mason,,Saad,Mina,Adin,,43991,1,43991,8,5a,8,5a,5a,5a,5a,1,1,5a,990,,,,,,0.0508,-0.635,-1.0414,0.3302,-0.0762,-0.5334,0.4318
